x,y,Magnitude,Direction,time
1149.09375,347.4453125,4.20673382769463,2.356851088916109,2026-07-05 13:36:08.730283
1145.19921875,351.3359375,5.504937469931113,2.3566962462967505,2026-07-05 13:36:08.738885
1141.3046875,355.2265625,5.504937469931113,2.3566962462967505,2026-07-05 13:36:08.746317
1136.11328125,357.8203125,5.803295435788106,2.678246068059726,2026-07-05 13:36:08.758849
1129.3046875,361.6015625,7.788119183412582,2.634640298170937,2026-07-05 13:36:08.762467
1121.73828125,364.625,8.148108851533914,2.7614423701150077,2026-07-05 13:36:08.777106
1112.82421875,367.86328125,9.484037943197391,2.793138350677964,2026-07-05 13:36:08.779993
1103.91015625,370.29296875,9.239258173769283,2.875488928377264,2026-07-05 13:36:08.791099
1085.734375,377.10546875,19.410543019139148,2.7829868598958316,2026-07-05 13:36:08.795217
1064.3046875,383.0546875,22.240159848414034,2.8707962315006634,2026-07-05 13:36:08.808934
1044.9921875,388.73046875,20.12926101594024,2.855749287389935,2026-07-05 13:36:08.812147
1023.5625,395.87109375,22.58805064051082,2.819951472483757,2026-07-05 13:36:08.824306
999.90234375,400.84765625,24.17786525090295,2.9342794874209788,2026-07-05 13:36:08.827843
976.2421875,407.0703125,24.4647592381384,2.8844152229944897,2026-07-05 13:36:08.841302
947.79296875,412.48828125,28.96053233042045,2.9534026958176796,2026-07-05 13:36:08.843924
921.796875,417.68359375,26.510152059757132,2.9443415815296885,2026-07-05 13:36:08.851864
869.72265625,426.66015625,52.84224572006055,2.9708900981286064,2026-07-05 13:36:08.859335
836.2421875,432.48046875,33.98261063128292,2.9694707730034144,2026-07-05 13:36:08.868421
818.9375,435.72265625,17.60579419559971,2.956380999081874,2026-07-05 13:36:08.875804
787.9296875,439.94921875,31.294540523892703,3.006121156646992,2026-07-05 13:36:08.891609
756.921875,445.5859375,31.515980617803372,2.9617724117459523,2026-07-05 13:36:08.892827
728.47265625,451.00390625,28.96053233042045,2.9534026958176796,2026-07-05 13:36:08.899689
718.09765625,452.73046875,10.51768239995895,2.9766882062350315,2026-07-05 13:36:08.907731
698.78515625,457.2734375,19.839637630598915,2.910558356179631,2026-07-05 13:36:08.915659
683.375,461.37890625,15.947657800023194,2.8812269332907228,2026-07-05 13:36:08.924044
671.43359375,465.05078125,12.49319211583509,2.8432776258198436,2026-07-05 13:36:08.932230
661.921875,469.37109375,10.446908331021088,2.7152436688883324,2026-07-05 13:36:08.940396
655.11328125,473.15234375,7.788119183412582,2.634640298170937,2026-07-05 13:36:08.948872
653.16015625,475.1015625,2.7593751105959776,2.3571954908590107,2026-07-05 13:36:08.956913
648.6171875,478.34375,5.581249398533703,2.521749969309371,2026-07-05 13:36:08.964527
645.640625,481.31640625,4.20673382769463,2.356851088916109,2026-07-05 13:36:08.973664
644.17578125,483.265625,2.4382823764415855,2.2152586656670135,2026-07-05 13:36:08.980579
642.7109375,485.703125,2.8437956083224516,2.1119225407287447,2026-07-05 13:36:08.990334
641.51953125,489.8671875,4.331150581132606,1.8494676408869595,2026-07-05 13:36:08.997107
641.51953125,493.11328125,3.24609375,1.5707963267948966,2026-07-05 13:36:09.007611
641.51953125,497.27734375,4.1640625,1.5707963267948966,2026-07-05 13:36:09.013669
643.30078125,501.44140625,4.5290471477349685,1.166584042103987,2026-07-05 13:36:09.023701
649.73046875,511.54296875,11.974240948346685,1.0039670292076732,2026-07-05 13:36:09.029558
656.16015625,521.64453125,11.974240948346685,1.0039670292076732,2026-07-05 13:36:09.042884
664.9140625,532.34375,13.824042697204773,0.8850668158886104,2026-07-05 13:36:09.045654
675.7265625,546.40234375,17.735676318582808,0.9151812731558154,2026-07-05 13:36:09.059978
688.703125,559.37890625,18.351630680482117,0.7853981633974483,2026-07-05 13:36:09.063257
