x,y,Magnitude,Direction,time
737.1875,453.203125,0.6875,0.0,2026-07-09 17:18:02.503849
737.875,453.203125,0.6875,0.0,2026-07-09 17:18:02.507714
738.5625,453.203125,0.6875,0.0,2026-07-09 17:18:02.508852
739.25,453.203125,0.6875,0.0,2026-07-09 17:18:02.509507
739.9375,453.203125,0.6875,0.0,2026-07-09 17:18:02.510376
740.625,453.203125,0.6875,0.0,2026-07-09 17:18:02.511084
741.3125,453.203125,0.6875,0.0,2026-07-09 17:18:02.511695
742.0,453.203125,0.6875,0.0,2026-07-09 17:18:02.512258
742.6875,453.203125,0.6875,0.0,2026-07-09 17:18:02.512762
743.375,453.203125,0.6875,0.0,2026-07-09 17:18:02.513246
744.0625,453.203125,0.6875,0.0,2026-07-09 17:18:02.513881
744.75,453.203125,0.6875,0.0,2026-07-09 17:18:02.514456
745.4375,453.890625,0.9722718241315028,0.7853981633974483,2026-07-09 17:18:02.515001
746.125,453.890625,0.6875,0.0,2026-07-09 17:18:02.515489
747.5,453.890625,1.375,0.0,2026-07-09 17:18:02.515979
748.1875,453.890625,0.6875,0.0,2026-07-09 17:18:02.516468
748.875,453.890625,0.6875,0.0,2026-07-09 17:18:02.517125
750.25,453.890625,1.375,0.0,2026-07-09 17:18:02.518248
751.625,453.890625,1.375,0.0,2026-07-09 17:18:02.522017
752.3125,453.890625,0.6875,0.0,2026-07-09 17:18:02.522457
753.6875,453.890625,1.375,0.0,2026-07-09 17:18:02.523029
754.375,453.890625,0.6875,0.0,2026-07-09 17:18:02.523538
755.0625,453.890625,0.6875,0.0,2026-07-09 17:18:02.524018
756.4375,453.890625,1.375,0.0,2026-07-09 17:18:02.524434
757.125,453.890625,0.6875,0.0,2026-07-09 17:18:02.525126
758.5,454.578125,1.5372967345311055,0.4636476090008061,2026-07-09 17:18:02.526181
759.875,454.578125,1.375,0.0,2026-07-09 17:18:02.527152
760.5625,454.578125,0.6875,0.0,2026-07-09 17:18:02.528202
761.9375,454.578125,1.375,0.0,2026-07-09 17:18:02.529205
762.625,454.578125,0.6875,0.0,2026-07-09 17:18:02.530181
