x,y,Magnitude,Direction,time
1339.1640625,871.28515625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.760315
1339.1640625,870.59765625,0.6875,-1.5707963267948966,2026-07-09 17:24:56.767606
1338.4765625,869.91015625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.769460
1337.7890625,869.22265625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.771198
1337.1015625,868.53515625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.772308
1336.4140625,867.84765625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.773117
1335.7265625,867.16015625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.773792
1335.0390625,866.47265625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.774412
1333.6640625,865.78515625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.775357
1332.9765625,865.09765625,0.9722718241315028,-2.356194490192345,2026-07-09 17:24:56.776384
1331.6015625,864.41015625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.777057
1330.2265625,863.72265625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.777602
1328.8515625,862.34765625,1.9445436482630056,-2.356194490192345,2026-07-09 17:24:56.778152
1327.4765625,861.66015625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.778649
1326.1015625,860.28515625,1.9445436482630056,-2.356194490192345,2026-07-09 17:24:56.779129
1324.7265625,859.59765625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.779600
1323.3515625,858.22265625,1.9445436482630056,-2.356194490192345,2026-07-09 17:24:56.780411
1321.9765625,857.53515625,1.5372967345311055,-2.677945044588987,2026-07-09 17:24:56.781049
1319.9140625,856.16015625,2.4788165018814925,-2.5535900500422257,2026-07-09 17:24:56.781627
1317.8515625,855.47265625,2.174065891365761,-2.819842099193151,2026-07-09 17:24:56.782191
1316.4765625,854.09765625,1.9445436482630056,-2.356194490192345,2026-07-09 17:24:56.782890
1314.4140625,852.72265625,2.4788165018814925,-2.5535900500422257,2026-07-09 17:24:56.783463
1313.0390625,851.34765625,1.9445436482630056,-2.356194490192345,2026-07-09 17:24:56.784038
1310.2890625,849.97265625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.784568
1308.2265625,849.28515625,2.174065891365761,-2.819842099193151,2026-07-09 17:24:56.784984
1306.1640625,847.22265625,2.9168154723945086,-2.356194490192345,2026-07-09 17:24:56.785389
1304.1015625,846.53515625,2.174065891365761,-2.819842099193151,2026-07-09 17:24:56.785803
1302.0390625,845.16015625,2.4788165018814925,-2.5535900500422257,2026-07-09 17:24:56.786205
1299.2890625,843.09765625,3.4375,-2.498091544796509,2026-07-09 17:24:56.786608
1297.2265625,841.72265625,2.4788165018814925,-2.5535900500422257,2026-07-09 17:24:56.787099
1294.4765625,840.34765625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.787546
1291.7265625,838.97265625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.787977
1289.6640625,836.91015625,2.9168154723945086,-2.356194490192345,2026-07-09 17:24:56.788406
1286.9140625,835.53515625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.789505
1284.1640625,833.47265625,3.4375,-2.498091544796509,2026-07-09 17:24:56.790519
1281.4140625,832.09765625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.791464
1278.6640625,830.72265625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.792470
1275.9140625,829.34765625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.793292
1272.4765625,827.28515625,4.008779427706144,-2.601173153319209,2026-07-09 17:24:56.794131
1269.7265625,825.91015625,3.074593469062211,-2.677945044588987,2026-07-09 17:24:56.795198
1266.2890625,823.84765625,4.008779427706144,-2.601173153319209,2026-07-09 17:24:56.797647
1262.8515625,821.78515625,4.008779427706144,-2.601173153319209,2026-07-09 17:24:56.798300
1259.4140625,820.41015625,3.7023008049049717,-2.761086276477428,2026-07-09 17:24:56.798792
1255.9765625,817.66015625,4.402147913235083,-2.4668517113662407,2026-07-09 17:24:56.799256
