x,y,Magnitude,Direction,Force_Direction,Direction_Desync,time
874.83203125,867.03125,5.581249398533703,2.521749969309371,2.521749969309371,0.0,2026-07-12 19:56:36.133172
873.09375,867.46484375,1.7915426995024777,2.8971428111434068,-0.7860940575091933,1.1724107084487507,2026-07-12 19:56:36.147984
871.94921875,867.84375,1.2056208892166829,2.821891276652762,-0.09184612626473666,0.9274714210921229,2026-07-12 19:56:36.150139
871.29296875,867.84375,0.65625,3.141592653589793,-0.6599345218547884,1.2100636825403521,2026-07-12 19:56:36.164038
870.63671875,867.84375,0.65625,3.141592653589793,0.0,1.0,2026-07-12 19:56:36.164985
870.359375,867.56640625,0.3922232926894131,-2.356194490192345,-0.6318543808578924,0.5488745039443947,2026-07-12 19:56:36.178077
869.87109375,865.125,2.489755621871477,-1.7681918866447774,-1.6679623030667448,0.03190406734097232,2026-07-12 19:56:36.180037
869.3828125,862.68359375,2.489755621871477,-1.7681918866447774,0.0,0.5628329581890013,2026-07-12 19:56:36.188274
868.78515625,858.515625,4.210600490920579,-1.7132181779921838,-1.6340602070122219,0.025196764733171482,2026-07-12 19:56:36.195867
867.38671875,852.234375,6.435039161023517,-1.7898603213709634,-1.9330061904650888,0.04556474529903086,2026-07-12 19:56:36.204482
866.68359375,845.91015625,6.36318533153613,-1.681521339982789,-0.06171926481451139,0.5155990141870824,2026-07-12 19:56:36.211968
866.68359375,836.99609375,8.9140625,-1.5707963267948966,-1.3056932622015485,0.08438492631768274,2026-07-12 19:56:36.219854
866.68359375,828.08203125,8.9140625,-1.5707963267948966,0.0,0.5,2026-07-12 19:56:36.228339
866.68359375,817.9765625,10.10546875,-1.5707963267948966,-1.5707963267948966,0.0,2026-07-12 19:56:36.236431
866.68359375,800.671875,17.3046875,-1.5707963267948966,-1.5707963267948966,0.0,2026-07-12 19:56:36.244931
865.70703125,787.05078125,13.65605613867691,-1.6423687300267475,1.8299460949353832,1.1052721367279847,2026-07-12 19:56:36.251425
864.6796875,771.640625,15.444363076219043,-1.6373644905707205,-1.5991729871914686,0.012156733093837536,2026-07-12 19:56:36.262534
863.6875,755.78515625,15.886482471503339,-1.6332918262597058,-1.4920123658057516,0.04497064897720553,2026-07-12 19:56:36.268398
859.29296875,722.1015625,33.96905051399385,-1.7005286105101145,-1.7593701999974545,0.018729859652588523,2026-07-12 19:56:36.276040
855.2265625,693.65234375,28.73836646845799,-1.7127702719452162,1.5081916777377076,1.025264031605892,2026-07-12 19:56:36.282685
847.62890625,657.1875,37.24794236202958,-1.776213104986436,-1.9857603889907,0.06670097212151975,2026-07-12 19:56:36.292564
840.53125,620.28125,37.5825493188749,-1.760792466071701,-0.7232376845763134,0.33026394440724466,2026-07-12 19:56:36.300647
830.421875,574.7890625,46.60191612397264,-1.7894652726688385,-1.9081600047958422,0.03778170667396209,2026-07-12 19:56:36.311737
819.64453125,522.71484375,53.177771641246075,-1.7748763175841074,-1.671933752097442,0.03276763630352787,2026-07-12 19:56:36.314574
810.6640625,470.640625,52.84290943345737,-1.7415717297827151,-3.954324790317087e-15,0.5543594990880423,2026-07-12 19:56:36.326905
808.55859375,451.6953125,19.061948074105196,-1.6814761780350944,1.366177978476505,0.9700984476867638,2026-07-12 19:56:36.332157
805.40625,412.33203125,39.489304651826494,-1.6507091400009395,-1.6220237089358995,0.009130856297445842,2026-07-12 19:56:36.338416
805.40625,400.390625,11.94140625,-1.5707963267948966,1.4563414774806203,0.9635678899415898,2026-07-12 19:56:36.346489
805.40625,371.94140625,28.44921875,-1.5707963267948966,-1.5707963267948966,0.0,2026-07-12 19:56:36.354254
805.40625,352.62890625,19.3125,-1.5707963267948966,1.5707963267948968,1.0,2026-07-12 19:56:36.363569
805.40625,337.21875,15.41015625,-1.5707963267948966,1.5707963267948968,1.0,2026-07-12 19:56:36.370073
806.26953125,326.84375,10.410853928309702,-1.4877797326772866,1.4009965201291605,0.9195260402412575,2026-07-12 19:56:36.378530
